account,broker_name,company_name,listing_url
45187.0,annie l adjchavanich,"secret hq, inc.",https://www.secrethqinc.com/listings
44240.0,mike jani,fortune business brokers,https://www.fortunebizness.com/listing
47460.0,eric johnson,first choice business brokerage,https://sfbay.fcbb.com/businesses-for-sale?location=California&sort=FeaturedLocalBusinesses&page=1
43474.0,alex rodriguez-torres,"r.t commercial real estate, llc.",https://rt-cre.com/business-listings
8826.0,john sandone,"sr business brokers, inc.",https://www.businessbroker.net/listings/bfs_result.aspx?By=AdvancedSearch&r_id=33&ind_id=0&ask_price_l=&ask_price_h=&map_id=12&lcity=&keyword=&lst_no=&time=0&bprice=0&fresale=0&ownerfi=0&county_id=0
23560.0,harold mcgee,we sell group brokered by exp commercial,https://wesell.group/listings
23905.0,teri craft,berkshire hathaway commercial division,https://craftbusinesssales.com/
4168.0,"maninder singh sethi, mba","business usa, inc.",https://www.businessusa.biz/business-for-sale?listing_number=&type=&state=&county=&price=&gross_annual_sales=&business_search=business_search
4285.0,william laska,laska company,https://www.laskacompany.com/businesses-for-sale/
27736.0,mike janis,nj broker plus llc.,https://www.businessbrokersplus.com/our-listings/
1349.0,heather perkins,the boston restaurant group inc.,https://bostonrestaurantgroup.com/restaurants-for-sale/
41187.0,al lorenzen,"the business brokers, inc.",https://businessbrokersinc.com/our-listings/
22780.0,adam gilman,the deal firm,https://thedealfirm.com/businesses-for-sale/
30295.0,dashka altanbasan,"westgate business group, llc",https://westgatebusinessgroup.com/current-listings/
26863.0,chris prasifka,trust business brokers - west usa realty,https://www.trustbusinessbrokers.com/buy-a-business/
39312.0,jennifer ragazzo,tinsley medical practice brokers,https://tinsleymedicalpracticebrokers.com/listings/
714.0,brea reger,"bateson business brokerage, inc.",https://batesonbrokerage.com/florida-business-for-sale.asp
41373.0,"anthony wright, mba","bbc pacific northwest, llc",https://bbcpnw.com/
14582.0,christina lazuric,california business brokers,https://www.californiabusinessbrokers.com/businesses-for-sale-in-california/
49780.0,ronnie tarulli,mox advisors,https://moxbiz.com/search/
12752.0,fletcher brown,brown business brokers,https://birminghambusinessbroker.com/businesses-for-sale
1418.0,steve sink lifetime cbi&m&ami,phoenix affiliates,https://phxaffiliates.com/our-listings/
37293.0,aaron evans,texas restaurant advisors,https://www.texasrestaurantadvisors.com/portfolio
43062.0,jenn morin,trinity business brokers,https://tbb.biz/businesses-for-sale/
3374.0,bob young,acquisitionsdirect.com,https://acquisitionsdirect.com/
34591.0,trevor thielke,meritus group,https://meritus.group/businesses-for-sale/
1021.0,kevin waide,business acquisitions by aprio,https://www.aprio.com/services/business-acquisitions-by-aprio/view-business-listings/
13406.0,martin berliant,five star business brokers,https://fivestarbusinessbrokers.com/search-our-business-listings/
5970.0,promed financial,"promed financial, inc.",https://www.promed-financial.com/search-our-listing/
13915.0,randy sokol,sokol realty license #20174004026,https://businessesforsale.nebba.com/ohio/franklin-county/retail-business-real-estate/
33451.0,peter garrod,wnc business brokerage,https://wncbusinessbrokerage.com/
28828.0,jim conway,conway commercial group,https://www.conwaycommercial.com/business-opportunities/
15714.0,ramon sanchez-vinas,biz exit brokers & advisors,https://bizexitpro.com/businesses-for-sale/
41760.0,jim myers,hanna business advisors,https://myersba.com/my-listings/
44175.0,mike shakeri,aa business sales,https://americanbussales.net/full-inventory/
3105.0,stewart guthrie,the liberty group of nevada,https://www.thelibertygroupofnevada.com/businesses-for-sale/
38410.0,carl knickerbocker,broker,https://eca-ba.com/buy-a-business/
41716.0,keith mackenzie,chinook business advisory,https://app.dealbuilder.co/listings?country=CA&region=BC
39894.0,andrew stokely,franchise broker group,https://www.franchisebrokergroup.com/franchise-search/
30502.0,brian godin,godin property brokers,https://godinpropertybrokers.com/
29409.0,kevin t riordan p.a.,merritt realty corporation,http://www.gomerritt.com/listings/
44236.0,ryan roques,first choice business brokers - corona/ontario office,https://corona-ontario.fcbb.com/businesses-for-sale
2505.0,"jim mayfield, mba",island business & commercial brokerage,https://www.islandbusinessbrokers.com/all-listings/
33741.0,ian lashley,tlg business broker,https://www.tlgbusinessbroker.com/blog-listings
6675.0,"mike feinman, managing partner",texas business brokers,https://texasbusinessbrokers.com/our-listings/
8546.0,pete harrison,"tampa business broker, inc.",https://tampabusinessbroker.com/hot-listings/
37835.0,"karen schorkopf- managing director, tn business brokers","tn business brokers group, llc",https://www.tennbusinessbrokers.com/business-for-sale
21470.0,george gourousis,empire restaurant brokers,https://www.massrestaurantbroker.com/listings/
38913.0,joe liang,"ga business brokers, inc",https://www.gabusinessbrokers.com/businesses-for-sale/
2968.0,fred canada,the quincy group,https://thequincygroup.net/businesses_for_sale/
3293.0,matt uhler,wci business brokers northern arizona,https://wcibusinessbrokers.com/business-listings/
39346.0,larry blevins,american business brokers & consultants,http://www.americanbusinessbrokers.com/display-national.asp
24124.0,strategic business brokers group,american realty,https://businessbrokerphoenixaz.com/product-category/current-listings/
