account,broker_name,company_name,listings_url,city,state,active_listings,leaderboard_score
46471.0,sanjay wadhwani,kmf business advisors,https://kmfbusinessadvisors.dealrelations.com/listings?page=2%20,sunrise,fl,25.0,100.0
33313.0,anthony rigney,"quorum business advisors, llc",https://qbusinessadvisors.com/new-listings/,jacksonville,fl,22.0,100.0
17880.0,jason barnes,priority business brokers,https://www.bizbuysell.com/business-broker/jason-barnes/priority-business-brokers/11455/?bp_sreg=56&bp_scounty=2556&bp_cpg=,knoxville,tn,25.0,100.0
2762.0,indiana business advisors,indiana business advisors,https://indianabusinessadvisors.com/businesses-for-sale/,indianapolis,in,24.0,100.0
28182.0,rajesh bhatia,reputed brokerage,https://www.reputedbrokerage.com/advanced-search/?status=for-sale,dallas,tx,25.0,100.0
45825.0,james felthammer,james felthammer,https://www.loopnet.com/biz/business-opportunity/profitable-home-based-real-estate-firm-in-hunstville/2285686/,greensboro,nc,25.0,100.0
22928.0,prashant parmar,aspect commercial realty & business brokers,https://www.aspectbrokers.biz/BusinessForSale/BusinessForSale,charlotte,nc,25.0,100.0
34365.0,brian zoberg,suncoast business consultants,https://suncoastbiz.net/search-businesses/,pembroke pines,fl,25.0,100.0
40427.0,"lou sabbagh, cbi, cm&ap",budget business brokers,https://budgetbusinessbrokers.com/Listings-For-Sale/,houston,tx,22.0,99.0
14674.0,robert clements,benchmark business group,https://www.benchmarkbusinessgroup.com/business-for-sale,des moines,ia,20.0,98.0
17065.0,brett post,3cre advisors,"https://3cre.com/property-listings/

https://3cre.com/business-listings-columbus/",columbus,oh,20.0,98.0
11797.0,the pacific group las vegas nv,the pacific group,https://us.businessesforsale.com/us/agents/the-pacific-group,las vegas,nv,24.0,98.0
49543.0,tom cerniello,total business brokers,https://totalbusinessbrokers.com/businesses-for-sale/,dix hills,ny,49.0,98.0
28885.0,"jerry hasanovic, cpa, mst","dh brokerage, inc.",https://www.dhbrokerage.com/listings.php,ashland,va,22.0,97.0
34608.0,tim johnson,first choice business brokers of hampton roads,https://businessesforsalehamptonroads.com/businesses-for-sale,virginia beach,va,23.0,97.0
31769.0,haroon bhatti,capital business brokerage,https://capitalbusinessbrokerage.biz/business/,farmington hills,mi,20.0,97.0
352.0,rob amerine,"the fbb group, ltd.",https://www.fbb.com/businesses-for-sale/,colorado springs,co,22.0,97.0
46324.0,jeff sullivan,sullbrand,https://sullivanbusinessbrokers.com/category/uncategorized/ - Appears all SOLD,columbia,sc,23.0,96.0
1120.0,kevin nery,the nery corporation d/b/a coastal business brokers/coastal m&a,https://coastalbizbrokers.com/all-listings/,new bedford,ma,21.0,96.0
39754.0,"bilal khaliq,cbb.",empire global business brokers,https://www.bizbuysell.com/business-broker/bilal-khaliq-cbb/empire-global-business-brokers/32137/,olympia fields,il,23.0,96.0
34182.0,rocky didonna,biz resales,https://www.bizmls.com/business-search.asp -- Need to choose State,west chicago,il,23.0,96.0
2171.0,monika page,bizmatch inc.,https://www.biz-match.com/listings,corpus christi,tx,23.0,96.0
41789.0,susan m barnes,florida international business brokers,https://www.flbusinesses.com/all-listings,sebastian,fl,22.0,95.0
18595.0,john lin,capstar commercial realty,https://www.capstarco.com/search-business,gaithersburg,md,21.0,95.0
926.0,frank rubin,amerivest group,https://bbms.biz/listings/bbf-134/bus-own.asp,coral springs,fl,18.0,95.0
23910.0,"pablo fonseca, mba",spectrum business advisors,https://1800bizbroker.com/business-for-sale/?statuses=ACTIVE,riverside,ca,21.0,95.0
35477.0,raj sathyaseelan,link silicon valley,https://www.link-siliconvalley.com/businesses-for-sale/,pleasanton,ca,22.0,94.0
39674.0,jason ward,truview business advisors,https://www.truviewbusiness.com/businesses-for-sale/,houston,tx,25.0,94.0
34668.0,malone brokers inc,malone commercial brokers,https://www.malonecb.com/search-listings#/search/grid/,portland,me,19.0,93.0
2825.0,bill oates,alliant capital advisors llc,https://alliantbrokers.com/businesses-for-sale-4/,brentwood,tn,18.0,93.0
35082.0,toby barker,"business broker development group, llc",https://www.bizbrokersuccess.com/current-listings,rockwall,tx,19.0,93.0
44968.0,andy rumph,the decain group,https://thedecaingroup.com/businesses-for-sale/,cape coral,fl,20.0,93.0
16388.0,brian do,realtyall.com,https://realtyall.com/business-for-sale-%ec%82%ac%ec%97%85%ec%b2%b4-%eb%a7%a4%eb%a7%a4/,federal way,wa,21.0,93.0
28151.0,frank abraszek,buffalo business brokers & realty llc,https://www.buffalobusinessbrokers.com/current-listings,aepew,ny,21.0,92.0
10634.0,"emmet apolinario, cepa, cvb",ohio business advisors an international resource group company,https://www.bizbuysell.com/business-broker/emmet-apolinario-cepa-cvb/ohio-business-advisors-an-international-resource-group-company/5022/,columbus,oh,21.0,92.0
36229.0,jaret grossman,jarbly llc,https://www.bizbuysell.com/business-broker/jaret-grossman/jarbly-llc/28847/,boca raton,fl,21.0,92.0
3636.0,"randi edwards, cbb, cbis",kr business brokers,https://www.krbrokers.com/kr-business-broker-listings,everett,wa,18.0,91.0
812.0,"jon barger, cbb, sba",tucson business investments,https://www.tucsonbusiness.com/listings.html,tucson,az,18.0,91.0
809.0,bill corley - bottomline business brokers,bottomline business brokers,https://www.blbrokers.com/businesses-for-sale,tustin,ca,19.0,91.0
9046.0,joseph latina,"lmt commercial realty, llc",https://lmtcre.com/businesses-for-sale/,wilmington,de,19.0,90.0
40556.0,alan mehrez,united realty group,https://businessteamusa.com/businesses-for-sale/,fort lauderdale,fl,20.0,90.0
10121.0,tommy farmer,the marvin group llc,https://www.businessesforsale.com/search?formName=searchForm&keywords=,alpharetta,ga,20.0,90.0
38727.0,sandra boucher,southeast business alliance,https://sebusinessalliance.com/buy-a-business/ -- Needs to fill out NDA,hillsborough,nc,19.0,89.0
40194.0,"take iga cbi, cbb",jrc advisors l exp commercial,https://jrc-advisors.com/businesses-for-sale/,san ramon,ca,19.0,89.0
26132.0,luis gutierrez,gutier brokers llc,https://gutierbrokers.com/search-businesses-for-sale/,orlando,fl,19.0,89.0
15708.0,james sullivan foster,"business brokers of oregon, llc",https://businessbrokersoforegon.com/listings/,portland,or,15.0,89.0
29132.0,murat demir,xera realty inc,https://www.xerare.com/status/business-for-sale,jacksonville,fl,19.0,88.0
1269.0,ming dong,lee brokers,https://leebrokers.com/business-for-sale/,quincy,ma,19.0,88.0
33528.0,richard green,green & co. business brokers,https://greenandco.biz/featured-for-sale/,sarasota,fl,18.0,88.0
10428.0,"adam bauer, cbi",the business exchange,https://tbxllc.com/businesses-for-sale/,norwell,ma,16.0,88.0
13379.0,tom buckley,fnbc kansas city,https://www.fnbcusa.com/buying-a-business# -- Needs to fill out a form,independence,mo,19.0,88.0
26756.0,marc l. able,benchmark business brokers,https://benchmarkbusinessbrokers.com/businesses-for-sale/,shreveport,la,18.0,88.0
38652.0,jon sheklow,number1businessbroker.com,https://number1businessbroker.com/search/,new york,ny,18.0,87.0
14844.0,brian stephens,legacy venture group & buybizusa,https://buybizusa.com/all-listings/,brandon,fl,18.0,87.0
14964.0,mr. tracy a. burnidge,"buy/sell business brokers, inc.",https://www.bizbuysell.com/business-broker/mr-tracy-a-burnidge/buy-sell-business-brokers-inc/8827/?ui=true&bwp_url=BuySellBrokers&is_pseo=1,elgin,il,14.0,87.0
36540.0,"shaun rudgear, mcbi, m&ami, cbi, cbb",strategic medical brokers llc,https://strategicmedicalbrokers.com/listing/,phoenix,az,13.0,86.0
2379.0,colliers & acquisitions,colliers,https://businessbrokerage.colliers.com/listing/,salt lake city,ut,16.0,86.0
19767.0,j&e business group,j & e business group llc,https://jebizsales.com/businesses-for-sale,lancaster,pa,16.0,86.0
37417.0,william white,peak commercial,https://murphybusiness.com/hudson/businesses-for-sale/,woodland hills,ca,18.0,86.0
689.0,scott balfour,magnusson balfour commercial & business,https://balfourcommercial.com/businesses/businesses-for-sale/,portland,me,16.0,85.0
24206.0,young woo,yibroker,https://cincybizbroker.com/current-listings/,duluth,ga,17.0,85.0
3877.0,bizex business brokers,bizex businesss brokers,https://www.bizex.net/business-for-sale,santa monica,ca,17.0,85.0
18024.0,dan long,cincinnati business brokers,https://cincybizbroker.com/current-listings/,cincinnati,oh,17.0,85.0
25324.0,jeff sosville,atm brokerage,https://atmbrokerage.com/atm-routes-for-sale/,skaneateles,ny,13.0,84.0
16843.0,dane desantis,"hallmark business brokers, inc.",https://hallmarkbrokers.com/listings/,venice,fl,15.0,84.0
36383.0,kris fuehr,paulson exchange,https://www.paulsonexchange.com/businesses-for-sale -- Needs to input location,liberty lake,wa,14.0,83.0
13444.0,rick ziff,"action business brokerage, llc",https://actionbusinessbrokerage.com/commercial-real-estate-for-sale-3/,rocky hill,ct,14.0,83.0
27733.0,penny papaioannou,atlantic business brokers,https://www.atlanticbusinessbroker.com/our-business-for-sale-listings,haddonfield,nj,14.0,82.0
18896.0,ian harding,harding & associates,https://hardingbusinessfl.com/search-florida-businesses-for-sale/,lakewood ranch,fl,13.0,82.0
20727.0,jeffrey d. jones,"advanced business brokers, inc.","https://www.advancedbb.com/pages/business-for-sale

https://www.advancedbb.com/pages/hotels-for-sale",houston,tx,14.0,82.0
28201.0,dan mcguire,hospitality services corp.,https://www.hscbrokers.com/property-listings/,delano,mn,16.0,82.0
4873.0,denis mezheritskiy,"roi advisors, inc.",https://list.roibusinessbrokers.com/featured-listings/,concord,ma,15.0,82.0
40739.0,paul skiadas,kw town life,"https://realestateps.com/commercial-listings

https://realestateps.com/business-listings",tenafly,nj,16.0,82.0
22490.0,larry baumgart,performance business advisors,https://abb-businessbrokers.com/businesses-for-sale/,portage,mi,15.0,82.0
13728.0,h winston hines,hwh properties,https://adultclubbroker.net/current-listings/additional-listings/,chesnee,sc,16.0,82.0
2442.0,achim neumann,"a neumann & associates, llc",https://neumannassociates.com/business-for-sale/,atlantic highlands,nj,15.0,82.0
46358.0,denise houghtaling,southern country business advisors,https://scbizadvisors.com/sci-listings,north fort myers,fl,13.0,81.0
405.0,luke billiot,"front range business, inc.",https://frontrangebusiness.com/businesses-for-sale/,boulder,co,15.0,81.0
40217.0,brandon owens,first choice business brokers of cincinnati,https://businessforsaleohio.com/businesses-for-sale?sort=FeaturedLocalBusinesses&page=1,franklin,oh,15.0,81.0
4926.0,carmel business sales,carmel business sales,https://carmelbusinesssales.com/listings/,carmel,ca,15.0,81.0
37217.0,mike denham,first choice business brokers atlanta metro,https://atlantametro.fcbb.com/businesses-for-sale,lawrenceville,ga,14.0,80.0
35141.0,william griswold,https://businessforsaleinrichmondva.com/,https://businessforsaleinrichmondva.com/businesses-for-sale?page=1,henrico,va,13.0,80.0
46054.0,bryan gonzales,first choice business brokers san diego,https://sandiegonorth.fcbb.com/businesses-for-sale,carlsbad,ca,14.0,80.0
20197.0,jock purtle,business exits inc.,https://businessexits.com/listings/,marina del rey,ca,15.0,80.0
31434.0,cheryl maloney,vanguard properties,"https://www.maloneybusinessbrokers.com/properties

https://www.maloneybusinessbrokers.com/copy-of-commercial-listings-1",san francisco,ca,14.0,80.0
41539.0,beth palette,platz realty group,https://www.platzrealtygroup.com/business/,canfield,oh,15.0,80.0
43299.0,scott gordon,blue ridge brokerage,"https://www.blueridgebrokerage.com/commercial-listings/

https://www.blueridgebrokerage.com/businesses-for-sale/",boone,nc,14.0,79.0
13453.0,dean burnette,best business brokers,https://b3brokers.com/businesses-for-sale/,savannah,ga,13.0,79.0
45698.0,barry maring,first choice business brokers - #254,https://northdakota.fcbb.com/businesses-for-sale?sort=FeaturedLocalBusinesses&page=1,fargo,nd,13.0,79.0
2886.0,"vasilis georgiou, cm&aa, m&ami, cbi, cbb, mba",crossroads business brokers,https://crossroadsbusiness.com/businesses-for-sale,irvine,ca,14.0,79.0
38339.0,dominique maddox,eats broker,https://eatsbroker.com/restaurants-for-sale/,dallas,tx,14.0,79.0
33118.0,jack beraha,ameriteam business brokers,https://ameriteambusinessbrokers.com/search-listings/,orlando,fl,9.0,79.0
25415.0,"heather valeri, broker of distinction","meridian business advisors, llc.",https://www.bizbuysell.com/business-broker/heather-valeri-broker-of-distinction/meridian-business-advisors-llc/18549/,mt. pleasant,sc,10.0,79.0
45700.0,nicolas zhao,citadel commerical,https://www.bizbuysell.com/business-broker/nicolas-zhao/citadel-commerical/37641/?is_pseo=1,burlingame,ca,14.0,78.0
6619.0,chad b. butler,landscape depot investments,https://landscapedepotinvestments.com/search/business-search-results-desktop.php?locid=1&order_by=price&order=desc&cat=all,wellington,fl,14.0,78.0
1564.0,mike sirounis,harbor city business brokers,https://www.harborbiz.com/alllistings.html,melbourne,fl,13.0,78.0
44240.0,mike jani,fortune business brokers,https://www.fortunebizness.com/listing,irvine,ca,10.0,78.0
5569.0,sean linch,paragon acquisitions international,https://www.paragonacquisitionsintl.com/listings,san diego,ca,12.0,78.0
8826.0,john sandone,"sr business brokers, inc.",https://www.businessbroker.net/listings/bfs_result.aspx?By=AdvancedSearch&r_id=33&ind_id=0&ask_price_l=&ask_price_h=&map_id=12&lcity=&keyword=&lst_no=&time=0&bprice=0&fresale=0&ownerfi=0&county_id=0,haddon township,nj,13.0,77.0
47460.0,eric johnson,first choice business brokerage,https://sfbay.fcbb.com/businesses-for-sale?location=California&sort=FeaturedLocalBusinesses&page=1,sunnyvale,ca,37.0,77.0
4168.0,"maninder singh sethi, mba","business usa, inc.",https://www.businessusa.biz/business-for-sale?listing_number=&type=&state=&county=&price=&gross_annual_sales=&business_search=business_search,vienna,va,5.0,77.0
23905.0,teri craft,berkshire hathaway commercial division,https://craftbusinesssales.com/,pasadena,ca,12.0,77.0
43474.0,alex rodriguez-torres,"r.t commercial real estate, llc.",https://rt-cre.com/business-listings,port st. lucie,fl,13.0,77.0
30295.0,dashka altanbasan,"westgate business group, llc",https://westgatebusinessgroup.com/current-listings/,unknown,unknown,13.0,76.0
14582.0,christina lazuric,california business brokers,https://www.californiabusinessbrokers.com/for-sale-2/,mission viejo,ca,10.0,76.0
4285.0,william laska,laska company,https://www.laskacompany.com/businesses-for-sale/,eagle,id,13.0,76.0
27736.0,mike janis,nj broker plus llc.,https://www.businessbrokersplus.com/our-listings/,bloomfield,nj,13.0,76.0
26863.0,chris prasifka,trust business brokers - west usa realty,https://www.trustbusinessbrokers.com/buy-a-business/,scottsdale,az,12.0,76.0
22780.0,adam gilman,the deal firm,https://www.thedealfirm.com/businesses-for-sale/,san diego,ca,13.0,76.0
41187.0,al lorenzen,"the business brokers, inc.",https://businessbrokersinc.com/our-listings/,urbandale,ia,13.0,76.0
15609.0,commercial advisors,"commercial realty advisors, inc.",https://comrealty.net/search-commercial-real-estate-listings/,hyannis`,ma,13.0,76.0
714.0,brea reger,"bateson business brokerage, inc.",https://batesonbrokerage.com/florida-business-for-sale.asp,altamonte springs,fl,10.0,76.0
12752.0,fletcher brown,brown business brokers,https://birminghambusinessbroker.com/businesses-for-sale,birmingham,al,12.0,75.0
371.0,doug jackson,capital business brokers,https://www.bizbuysell.com/businesses-for-sale/,woodbridge,va,12.0,75.0
